customer_city,customer_state,orders_late,late_orders_respect_total_%,days_diference_mean,diagnosis,delay_days
santa fe,PR,1,12.5,11 days 17:28:50,Retrasos severos: rutas largas o problemas logísticos regionales,11.728356481481482
santa cruz do rio pardo,SP,1,12.5,2 days 17:27:23,Retraso leve: problemas típicos de última hora o reparto urbano,2.727349537037037
santa cruz do prata,MG,1,12.5,0 days 15:04:48,Retraso leve: problemas típicos de última hora o reparto urbano,0.6283333333333333
santa cruz de salinas,MG,1,12.5,19 days 17:49:03,Retrasos severos: rutas largas o problemas logísticos regionales,19.742395833333333
santa cruz de goias,GO,1,12.5,63 days 11:10:58,Retrasos severos: rutas largas o problemas logísticos regionales,63.465949074074075
barra do tarrachil,BA,1,12.5,6 days 15:18:39,Retraso moderado: problemas recurrentes pero no críticos,6.637951388888889
barra de sao joao,RJ,1,12.5,21 days 21:26:58,Retrasos severos: rutas largas o problemas logísticos regionales,21.893726851851852
barra de sao francisco,ES,1,12.5,0 days 18:44:54,Retraso leve: problemas típicos de última hora o reparto urbano,0.7811805555555555
barra bonita,SP,1,12.5,4 days 21:34:47,Retraso moderado: problemas recurrentes pero no críticos,4.899155092592593
barra,BA,1,12.5,14 days 13:48:47,Retrasos severos: rutas largas o problemas logísticos regionales,14.57554398148148
barcarena,PA,1,12.5,10 days 21:04:06,Retrasos severos: rutas largas o problemas logísticos regionales,10.877847222222222
banzae,BA,1,12.5,4 days 00:19:03,Retraso moderado: problemas recurrentes pero no críticos,4.013229166666667
bananeiras,PB,1,12.5,4 days 18:12:42,Retraso moderado: problemas recurrentes pero no críticos,4.758819444444445
bambui,MG,1,12.5,3 days 13:05:46,Retraso moderado: problemas recurrentes pero no críticos,3.5456712962962964
balneario rincao,SC,1,12.5,1 days 18:59:31,Retraso leve: problemas típicos de última hora o reparto urbano,1.7913310185185185
balneario picarras,SC,1,12.5,17 days 17:18:18,Retrasos severos: rutas largas o problemas logísticos regionales,17.721041666666668
